OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT,geom,in_ocean
41858,2017-06-16 04:51:00+00:00,Megaptera novaeangliae,Humpback,1,57.34099,-133.80737,whale_alert,11419,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-133.80737 57.34099000000001),,1
42120,2017-06-23 02:03:00+00:00,Megaptera novaeangliae,Humpback,1,58.12904,-134.99939,whale_alert,11578,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-134.99939 58.12904),,1
42121,2017-06-23 02:03:00+00:00,Megaptera novaeangliae,Humpback,1,58.12904,-134.99939,whale_alert,11579,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-134.99939 58.12904),,1
52250,2018-04-18 16:38:00+00:00,Delphinus capensis,Long-beaked Common Dolphin,1,34.11263,-119.21038,whale_alert,16392,,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.21038 34.11263),,1
52562,2018-05-07 17:54:00+00:00,Megaptera novaeangliae,Humpback,1,58.14169,-135.42196,whale_alert,16606,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-135.42196 58.14169),,1
55132,2018-07-21 19:52:00+00:00,Megaptera novaeangliae,Humpback,1,58.27773,-135.8467,whale_alert,18190,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-135.8467 58.27773),,1
203,2013-07-23 18:16:06+00:00,Phocoena phocoena,Harbor Porpoise,1,37.694016,-122.6211,spotter_pro,62,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.6211 37.694016),,1
206,2013-07-23 18:27:14+00:00,Phocoena phocoena,Harbor Porpoise,1,37.744176,-122.569192,spotter_pro,62,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.569192 37.744176),,1
205,2013-07-23 18:31:01+00:00,Phocoena phocoena,Harbor Porpoise,1,37.761877,-122.551024,spotter_pro,62,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.551024 37.761877),,1
188,2013-07-24 19:07:52+00:00,Balaenoptera musculus,Blue Whale,1,37.803268,-123.305735,spotter_pro,58,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-123.305735 37.803268),,1
189,2013-07-24 19:08:58+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,1,37.80335,-123.30162,spotter_pro,58,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-123.30162 37.80335),,1
196,2013-07-25 15:33:21+00:00,Megaptera novaeangliae,Humpback Whale,1,37.725223,-123.152567,spotter_pro,59,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.152567 37.725223),,1
198,2013-07-25 16:39:28+00:00,Megaptera novaeangliae,Humpback Whale,1,37.719156,-123.192821,spotter_pro,59,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.192821 37.719156),,1
190,2013-07-25 17:38:47+00:00,Megaptera novaeangliae,Humpback Whale,1,37.72374,-123.232572,spotter_pro,59,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.232572 37.72374),,1
